shipment_method_key,store,currency,value_net,value_gross
spryker_dummy_shipment-standard,NZ,EUR,390,490
spryker_dummy_shipment-express,NZ,EUR,490,590
spryker_drone_shipment-air_standard,NZ,EUR,450,500
spryker_drone_shipment-air_sonic,NZ,EUR,800,1000
spryker_drone_shipment-air_light,NZ,EUR,1200,1500
spryker_dummy_shipment-standard,NZ,CHF,450,560
spryker_dummy_shipment-express,NZ,CHF,560,680
spryker_drone_shipment-air_standard,NZ,CHF,520,580
spryker_drone_shipment-air_sonic,NZ,CHF,920,1200
spryker_drone_shipment-air_light,NZ,CHF,1400,1700
spryker_no_shipment,NZ,EUR,0,0
spryker_no_shipment,NZ,CHF,0,0
