abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,price_data.volume_prices
001,,DEFAULT,CH,EUR,8999,9999,
002,,DEFAULT,CH,EUR,8999,9999,
003,,DEFAULT,CH,EUR,5850,6500,
004,,DEFAULT,CH,EUR,6300,7000,
005,,DEFAULT,CH,EUR,6300,7000,
006,,DEFAULT,CH,EUR,31050,34500,
007,,DEFAULT,CH,EUR,31050,34500,
008,,DEFAULT,CH,EUR,31050,34500,
009,,DEFAULT,CH,EUR,8999,9999,
010,,DEFAULT,CH,EUR,31140,34600,
011,,DEFAULT,CH,EUR,32940,36600,
012,,DEFAULT,CH,EUR,32940,36600,
013,,DEFAULT,CH,EUR,5129,5699,
014,,DEFAULT,CH,EUR,4121,4579,
015,,DEFAULT,CH,EUR,5400,6000,
016,,DEFAULT,CH,EUR,8999,9999,
017,,DEFAULT,CH,EUR,311129,345699,
018,,DEFAULT,CH,EUR,31139,34599,
019,,DEFAULT,CH,EUR,8999,9999,
020,,DEFAULT,CH,EUR,9522,10580,
021,,DEFAULT,CH,EUR,9612,10680,
022,,DEFAULT,CH,EUR,23400,26000,
023,,DEFAULT,CH,EUR,24051,26723,
024,,DEFAULT,CH,EUR,40050,44500,
025,,DEFAULT,CH,EUR,27000,30000,
026,,DEFAULT,CH,EUR,3780,4200,
027,,DEFAULT,CH,EUR,4410,4900,
028,,DEFAULT,CH,EUR,2700,3000,
029,,DEFAULT,CH,EUR,36922,41024,
030,,DEFAULT,CH,EUR,40522,45024,
031,,DEFAULT,CH,EUR,36022,40024,
032,,DEFAULT,CH,EUR,2520,2800,
033,,DEFAULT,CH,EUR,2250,2500,
034,,DEFAULT,CH,EUR,27917,31019,
035,,DEFAULT,CH,EUR,26772,29747,
036,,DEFAULT,CH,EUR,16199,17999,
037,,DEFAULT,CH,EUR,15299,16999,
038,,DEFAULT,CH,EUR,14399,15999,
039,,DEFAULT,CH,EUR,14309,15899,
040,,DEFAULT,CH,EUR,14219,15799,
041,,DEFAULT,CH,EUR,9342,10380,
042,,DEFAULT,CH,EUR,8172,9080,
043,,DEFAULT,CH,EUR,6590,7322,
044,,DEFAULT,CH,EUR,28934,32149,
045,,DEFAULT,CH,EUR,35295,39217,
046,,DEFAULT,CH,EUR,3707,4119,
047,,DEFAULT,CH,EUR,5152,5724,
048,,DEFAULT,CH,EUR,11020,12244,
049,,DEFAULT,CH,EUR,15025,16694,
050,,DEFAULT,CH,EUR,27706,30784,
051,,DEFAULT,CH,EUR,11185,12428,
,051_29567823,DEFAULT,CH,EUR,10800,12000,
,051_30107816,DEFAULT,CH,EUR,11250,12500,
,051_30614390,DEFAULT,CH,EUR,11520,12800,
052,,DEFAULT,CH,EUR,8102,9002,
,052_29567823,DEFAULT,CH,EUR,8010,8900,
,052_30107816,DEFAULT,CH,EUR,9450,10500,
,052_30614390,DEFAULT,CH,EUR,7650,8500,
053,,DEFAULT,CH,EUR,36586,40651,
,053_29567823,DEFAULT,CH,EUR,31892,35435,
054,,DEFAULT,CH,EUR,1691,1879,
055,,DEFAULT,CH,EUR,17223,19137,
056,,DEFAULT,CH,EUR,29939,33265,
057,,DEFAULT,CH,EUR,37205,41339,
058,,DEFAULT,CH,EUR,23789,26432,
,058_24245592,DEFAULT,CH,EUR,3109,3454,
,058_26175504,DEFAULT,CH,EUR,38661,42957,
059,,DEFAULT,CH,EUR,33068,36742,
,059_24245592,DEFAULT,CH,EUR,19073,21192,
,059_26175504,DEFAULT,CH,EUR,39764,44182,
,059_26027598,DEFAULT,CH,EUR,33622,37358,
060,,DEFAULT,CH,EUR,37653,41837,
,060_24245592,DEFAULT,CH,EUR,6686,7429,
,060_26175504,DEFAULT,CH,EUR,37653,41837,
,060_26027598,DEFAULT,CH,EUR,35829,39810,
061,,DEFAULT,CH,EUR,25178,27975,
062,,DEFAULT,CH,EUR,2657,2952,
063,,DEFAULT,CH,EUR,17730,19700,
064,,DEFAULT,CH,EUR,4903,5448,
065,,DEFAULT,CH,EUR,28949,32166,
066,,DEFAULT,CH,EUR,35418,39353,
067,,DEFAULT,CH,EUR,20016,22240,
068,,DEFAULT,CH,EUR,7205,8005,
069,,DEFAULT,CH,EUR,18011,20012,
070,,DEFAULT,CH,EUR,26710,29678,
,070_133745031,DEFAULT,CH,EUR,39992,44436,
,070_203704321,DEFAULT,CH,EUR,15369,17077,
,070_133913221,DEFAULT,CH,EUR,36416,40462,
,070_133745032,DEFAULT,CH,EUR,21992,24435,
,070_203704322,DEFAULT,CH,EUR,37918,42131,
,070_133913222,DEFAULT,CH,EUR,37418,41575,
,070_133745033,DEFAULT,CH,EUR,10543,11714,
071,,DEFAULT,CH,EUR,9562,10624,
072,,DEFAULT,CH,EUR,37428,41587,
,072_19618271,DEFAULT,CH,EUR,14982,16647,
,072_21927455,DEFAULT,CH,EUR,12279,13643,
073,,DEFAULT,CH,EUR,39112,43458,
,073_19618271,DEFAULT,CH,EUR,6036,6707,
,073_21927455,DEFAULT,CH,EUR,28503,31670,
074,,DEFAULT,CH,EUR,1789,1988,
075,,DEFAULT,CH,EUR,31109,34566,
076,,DEFAULT,CH,EUR,32140,35711,
077,,DEFAULT,CH,EUR,13099,14554,
078,,DEFAULT,CH,EUR,23026,25584,
079,,DEFAULT,CH,EUR,38252,42502,
080,,DEFAULT,CH,EUR,22693,25214,
081,,DEFAULT,CH,EUR,35196,39107,
082,,DEFAULT,CH,EUR,33381,37090,
083,,DEFAULT,CH,EUR,29928,33253,
084,,DEFAULT,CH,EUR,29120,32355,
085,,DEFAULT,CH,EUR,34351,38168,
086,,DEFAULT,CH,EUR,16201,18001,
087,,DEFAULT,CH,EUR,16574,18415,
088,,DEFAULT,CH,EUR,8879,9865,
089,,DEFAULT,CH,EUR,37254,41393,
090,,DEFAULT,CH,EUR,18144,20160,
091,,DEFAULT,CH,EUR,17741,19712,
092,,DEFAULT,CH,EUR,15713,17459,
093,,DEFAULT,CH,EUR,22409,24899,
094,,DEFAULT,CH,EUR,25360,28178,
095,,DEFAULT,CH,EUR,16195,17994,
096,,DEFAULT,CH,EUR,25975,28861,
097,,DEFAULT,CH,EUR,35520,39467,
098,,DEFAULT,CH,EUR,22446,24940,
099,,DEFAULT,CH,EUR,20709,23010,
100,,DEFAULT,CH,EUR,5649,6277,
101,,DEFAULT,CH,EUR,29618,32909,
102,,DEFAULT,CH,EUR,12479,13865,
103,,DEFAULT,CH,EUR,18229,20254,
104,,DEFAULT,CH,EUR,3526,3918,
105,,DEFAULT,CH,EUR,23977,26641,
106,,DEFAULT,CH,EUR,40242,44713,
107,,DEFAULT,CH,EUR,10450,11611,
108,,DEFAULT,CH,EUR,15997,17774,
109,,DEFAULT,CH,EUR,11315,12572,
110,,DEFAULT,CH,EUR,31201,34668,
111,,DEFAULT,CH,EUR,17611,19568,
112,,DEFAULT,CH,EUR,22415,24905,
,112_312526171,DEFAULT,CH,EUR,39351,43723,
,112_306918001,DEFAULT,CH,EUR,1871,2079,
,112_312526191,DEFAULT,CH,EUR,1863,2070,
,112_312526172,DEFAULT,CH,EUR,29798,33109,
,112_306918002,DEFAULT,CH,EUR,35256,39173,
,112_312526192,DEFAULT,CH,EUR,12596,13995,
,112_306918003,DEFAULT,CH,EUR,16603,18448,
,112_312526193,DEFAULT,CH,EUR,14645,16272,
113,,DEFAULT,CH,EUR,8999,9999,
114,,DEFAULT,CH,EUR,8999,9999,
,114_29911081,DEFAULT,CH,EUR,5850,6500,
,114_30580483,DEFAULT,CH,EUR,6300,7000,
115,,DEFAULT,CH,EUR,6300,7000,
,115_27295368,DEFAULT,CH,EUR,31050,34500,
,115_26440118,DEFAULT,CH,EUR,31050,34500,
,115_26408656,DEFAULT,CH,EUR,31050,34500,
116,,DEFAULT,CH,EUR,8999,9999,
,116_29743424,DEFAULT,CH,EUR,31140,34600,
,116_28684053,DEFAULT,CH,EUR,32940,36600,
117,,DEFAULT,CH,EUR,32940,36600,
,117_29890338,DEFAULT,CH,EUR,5129,5699,
,117_30585828,DEFAULT,CH,EUR,4121,4579,
118,,DEFAULT,CH,EUR,5400,6000,
119,,DEFAULT,CH,EUR,8999,9999,
120,,DEFAULT,CH,EUR,311129,345699,
,120_29890350,DEFAULT,CH,EUR,31139,34599,
,120_30069636,DEFAULT,CH,EUR,8999,9999,
,120_30069631,DEFAULT,CH,EUR,9522,10580,
121,,DEFAULT,CH,EUR,9612,10680,
,121_29406823,DEFAULT,CH,EUR,23400,26000,
,121_28542963,DEFAULT,CH,EUR,24051,26723,
,121_28549476,DEFAULT,CH,EUR,40050,44500,
122,,DEFAULT,CH,EUR,27000,30000,
,122_22308524,DEFAULT,CH,EUR,3780,4200,
,122_26145672,DEFAULT,CH,EUR,4410,4900,
123,,DEFAULT,CH,EUR,2700,3000,
,123_29866607,DEFAULT,CH,EUR,36922,41024,
,123_30610368,DEFAULT,CH,EUR,40522,45024,
,123_29866603,DEFAULT,CH,EUR,36022,40024,
124,,DEFAULT,CH,EUR,2520,2800,
,124_31623088,DEFAULT,CH,EUR,2250,2500,
,124_29866591,DEFAULT,CH,EUR,27917,31019,
125,,DEFAULT,CH,EUR,26772,29747,
,125_30703764,DEFAULT,CH,EUR,16199,17999,
,125_30350012,DEFAULT,CH,EUR,15299,16999,
126,,DEFAULT,CH,EUR,14399,15999,
,126_24722439,DEFAULT,CH,EUR,14309,15899,
,126_30407844,DEFAULT,CH,EUR,14219,15799,
,126_26280142,DEFAULT,CH,EUR,9342,10380,
127,,DEFAULT,CH,EUR,8172,9080,
,127_22828284,DEFAULT,CH,EUR,6590,7322,
,127_22613708,DEFAULT,CH,EUR,28934,32149,
,127_20723326,DEFAULT,CH,EUR,35295,39217,
,127_22613709,DEFAULT,CH,EUR,3707,4119,
128,,DEFAULT,CH,EUR,5152,5724,
,128_29955336,DEFAULT,CH,EUR,11020,12244,
,128_27314278,DEFAULT,CH,EUR,15025,16694,
129,,DEFAULT,CH,EUR,27706,30784,
,129_30706500,DEFAULT,CH,EUR,11185,12428,
,129_27107297,DEFAULT,CH,EUR,21385,23761,
,129_24325712,DEFAULT,CH,EUR,30155,33505,
130,,DEFAULT,CH,EUR,19849,22054,
,130_29285281,DEFAULT,CH,EUR,8102,9002,
,130_24326086,DEFAULT,CH,EUR,28641,31823,
,130_24725761,DEFAULT,CH,EUR,38033,42259,
131,131_24872891,DEFAULT,CH,EUR,6629,7365,
132,132_30619567,DEFAULT,CH,EUR,36586,40651,
133,133_31743669,DEFAULT,CH,EUR,31892,35435,
134,,DEFAULT,CH,EUR,1691,1879,
135,,DEFAULT,CH,EUR,17223,19137,
136,,DEFAULT,CH,EUR,29939,33265,
137,,DEFAULT,CH,EUR,37205,41339,
138,,DEFAULT,CH,EUR,23789,26432,
139,,DEFAULT,CH,EUR,23945,23945,
140,,DEFAULT,CH,EUR,38661,42957,
141,,DEFAULT,CH,EUR,33068,36742,
142,,DEFAULT,CH,EUR,19073,21192,
143,,DEFAULT,CH,EUR,39764,44182,
144,,DEFAULT,CH,EUR,33622,37358,
145,,DEFAULT,CH,EUR,6686,7429,
146,,DEFAULT,CH,EUR,37653,41837,
147,,DEFAULT,CH,EUR,35829,39810,
148,,DEFAULT,CH,EUR,25178,27975,
149,,DEFAULT,CH,EUR,2657,2952,
150,,DEFAULT,CH,EUR,17730,19700,
151,,DEFAULT,CH,EUR,4903,5448,
152,,DEFAULT,CH,EUR,28949,32166,
153,,DEFAULT,CH,EUR,35418,39353,
154,,DEFAULT,CH,EUR,20016,22240,
155,,DEFAULT,CH,EUR,7205,8005,
156,,DEFAULT,CH,EUR,18011,20012,
157,,DEFAULT,CH,EUR,26710,29678,
158,,DEFAULT,CH,EUR,39992,44436,
159,,DEFAULT,CH,EUR,15369,17077,
160,,DEFAULT,CH,EUR,36416,40462,
161,,DEFAULT,CH,EUR,21992,24435,
162,,DEFAULT,CH,EUR,37918,42131,
163,,DEFAULT,CH,EUR,37418,41575,
164,,DEFAULT,CH,EUR,10543,11714,
165,,DEFAULT,CH,EUR,9562,10624,
166,,DEFAULT,CH,EUR,37428,41587,
167,,DEFAULT,CH,EUR,14982,16647,
168,,DEFAULT,CH,EUR,12279,13643,
169,,DEFAULT,CH,EUR,39112,43458,
170,,DEFAULT,CH,EUR,6036,6707,
171,,DEFAULT,CH,EUR,28503,31670,
172,,DEFAULT,CH,EUR,1789,1988,
173,,DEFAULT,CH,EUR,31109,34566,
174,,DEFAULT,CH,EUR,32140,35711,
175,,DEFAULT,CH,EUR,13099,14554,
176,,DEFAULT,CH,EUR,23026,25584,
177,,DEFAULT,CH,EUR,38252,42502,
178,,DEFAULT,CH,EUR,22693,25214,
179,,DEFAULT,CH,EUR,35196,39107,
180,,DEFAULT,CH,EUR,33381,37090,
