product_relation_key,store_name
pr-1,CH
pr-10,CH
pr-100,CH
pr-101,CH
pr-102,CH
pr-103,CH
pr-104,CH
pr-105,CH
pr-106,CH
pr-107,CH
pr-108,CH
pr-109,CH
pr-11,CH
pr-110,CH
pr-111,CH
pr-112,CH
pr-113,CH
pr-114,CH
pr-115,CH
pr-116,CH
pr-117,CH
pr-118,CH
pr-119,CH
pr-12,CH
pr-120,CH
pr-121,CH
pr-122,CH
pr-123,CH
pr-124,CH
pr-125,CH
pr-126,CH
pr-127,CH
pr-128,CH
pr-129,CH
pr-13,CH
pr-130,CH
pr-131,CH
pr-132,CH
pr-133,CH
pr-134,CH
pr-135,CH
pr-136,CH
pr-137,CH
pr-138,CH
pr-139,CH
pr-14,CH
pr-140,CH
pr-141,CH
pr-142,CH
pr-143,CH
pr-15,CH
pr-16,CH
pr-17,CH
pr-18,CH
pr-19,CH
pr-2,CH
pr-20,CH
pr-21,CH
pr-22,CH
pr-23,CH
pr-24,CH
pr-25,CH
pr-26,CH
pr-27,CH
pr-28,CH
pr-29,CH
pr-3,CH
pr-30,CH
pr-31,CH
pr-32,CH
pr-33,CH
pr-34,CH
pr-35,CH
pr-36,CH
pr-37,CH
pr-38,CH
pr-39,CH
pr-4,CH
pr-40,CH
pr-41,CH
pr-42,CH
pr-43,CH
pr-44,CH
pr-45,CH
pr-46,CH
pr-47,CH
pr-48,CH
pr-49,CH
pr-5,CH
pr-50,CH
pr-51,CH
pr-52,CH
pr-53,CH
pr-54,CH
pr-55,CH
pr-56,CH
pr-57,CH
pr-58,CH
pr-59,CH
pr-6,CH
pr-60,CH
pr-61,CH
pr-62,CH
pr-63,CH
pr-64,CH
pr-65,CH
pr-66,CH
pr-67,CH
pr-68,CH
pr-69,CH
pr-7,CH
pr-70,CH
pr-71,CH
pr-72,CH
pr-73,CH
pr-74,CH
pr-75,CH
pr-76,CH
pr-77,CH
pr-78,CH
pr-79,CH
pr-8,CH
pr-80,CH
pr-81,CH
pr-82,CH
pr-83,CH
pr-84,CH
pr-85,CH
pr-86,CH
pr-87,CH
pr-88,CH
pr-89,CH
pr-9,CH
pr-90,CH
pr-91,CH
pr-92,CH
pr-93,CH
pr-94,CH
pr-95,CH
pr-96,CH
pr-97,CH
pr-98,CH
pr-99,CH
