shipment_method_key,store,currency,value_net,value_gross
spryker_dummy_shipment-standard,CH,EUR,390,490
spryker_dummy_shipment-express,CH,EUR,490,590
spryker_drone_shipment-air_standard,CH,EUR,450,500
spryker_drone_shipment-air_sonic,CH,EUR,800,1000
spryker_drone_shipment-air_light,CH,EUR,1200,1500
spryker_dummy_shipment-standard,CH,CHF,450,560
spryker_dummy_shipment-express,CH,CHF,560,680
spryker_drone_shipment-air_standard,CH,CHF,520,580
spryker_drone_shipment-air_sonic,CH,CHF,920,1200
spryker_drone_shipment-air_light,CH,CHF,1400,1700
spryker_no_shipment,CH,EUR,0,0
spryker_no_shipment,CH,CHF,0,0
