block_key,store_name
blck-5,KR
blck-4,KR
blck-1,KR
blck-2,KR
blck-3,KR
blck-8,KR
blck-10,KR
blck-9,KR
blck-11,KR
blck-6,KR
blck-7,KR
blck-12,KR
blck-13,KR
blck-14,KR
blck-15,KR
blck-16,KR
blck-17,KR
blck-18,KR
blck-19,KR
blck-20,KR
blck-21,KR
blck-22,KR
blck-23,KR
blck-24,KR
blck-25,KR
blck-26,KR
blck-27,KR
blck-28,KR
blck-29,KR
blck-30,KR
blck-31,KR
blck-nav-desktop,KR
blck-nav-mobile,KR
blck-nav-footer,KR
cms-block-email--customer-registration--html,KR
cms-block-email--customer-registration--text,KR
cms-block-email--customer-registration_token--html,KR
cms-block-email--customer-registration_token--text,KR
cms-block-email--customer-restore-password--html,KR
cms-block-email--customer-restore-password--text,KR
cms-block-email--customer-restored-password-confirmation--html,KR
cms-block-email--customer-restored-password-confirmation--text,KR
cms-block-email--restore-password--html,KR
cms-block-email--restore-password--text,KR
cms-block-email--availability-notification-subscription--html,KR
cms-block-email--availability-notification-subscription--text,KR
cms-block-email--availability-notification-unsubscribed--html,KR
cms-block-email--availability-notification-unsubscribed--text,KR
cms-block-email--availability-notification--html,KR
cms-block-email--availability-notification--text,KR
cms-block-email--gift-card-delivery--html,KR
cms-block-email--gift-card-delivery--text,KR
cms-block-email--gift-card-usage--html,KR
cms-block-email--gift-card-usage--text,KR
cms-block-email--newsletter-subscribed--html,KR
cms-block-email--newsletter-subscribed--text,KR
cms-block-email--newsletter-unsubscribed--html,KR
cms-block-email--newsletter-unsubscribed--text,KR
cms-block-email--order-confirmation--html,KR
cms-block-email--order-confirmation--text,KR
cms-block-email--order-shipped--html,KR
cms-block-email--order-shipped--text,KR
