block_key,store_name
blck-5,CA
blck-4,CA
blck-1,CA
blck-2,CA
blck-3,CA
blck-8,CA
blck-10,CA
blck-9,CA
blck-11,CA
blck-6,CA
blck-7,CA
blck-12,CA
blck-13,CA
blck-14,CA
blck-15,CA
blck-16,CA
blck-17,CA
blck-18,CA
blck-19,CA
blck-20,CA
blck-21,CA
blck-22,CA
blck-23,CA
blck-24,CA
blck-25,CA
blck-26,CA
blck-27,CA
blck-28,CA
blck-29,CA
blck-30,CA
blck-31,CA
blck-nav-desktop,CA
blck-nav-mobile,CA
blck-nav-footer,CA
cms-block-email--customer-registration--html,CA
cms-block-email--customer-registration--text,CA
cms-block-email--customer-registration_token--html,CA
cms-block-email--customer-registration_token--text,CA
cms-block-email--customer-restore-password--html,CA
cms-block-email--customer-restore-password--text,CA
cms-block-email--customer-restored-password-confirmation--html,CA
cms-block-email--customer-restored-password-confirmation--text,CA
cms-block-email--restore-password--html,CA
cms-block-email--restore-password--text,CA
cms-block-email--availability-notification-subscription--html,CA
cms-block-email--availability-notification-subscription--text,CA
cms-block-email--availability-notification-unsubscribed--html,CA
cms-block-email--availability-notification-unsubscribed--text,CA
cms-block-email--availability-notification--html,CA
cms-block-email--availability-notification--text,CA
cms-block-email--gift-card-delivery--html,CA
cms-block-email--gift-card-delivery--text,CA
cms-block-email--gift-card-usage--html,CA
cms-block-email--gift-card-usage--text,CA
cms-block-email--newsletter-subscribed--html,CA
cms-block-email--newsletter-subscribed--text,CA
cms-block-email--newsletter-unsubscribed--html,CA
cms-block-email--newsletter-unsubscribed--text,CA
cms-block-email--order-confirmation--html,CA
cms-block-email--order-confirmation--text,CA
cms-block-email--order-shipped--html,CA
cms-block-email--order-shipped--text,CA
