abstract_sku,store_name
001,CA
002,CA
003,CA
004,CA
005,CA
006,CA
007,CA
008,CA
009,CA
010,CA
011,CA
012,CA
013,CA
014,CA
015,CA
016,CA
017,CA
018,CA
019,CA
020,CA
021,CA
022,CA
023,CA
024,CA
025,CA
026,CA
027,CA
028,CA
029,CA
030,CA
031,CA
032,CA
033,CA
034,CA
035,CA
036,CA
037,CA
038,CA
039,CA
040,CA
041,CA
042,CA
043,CA
044,CA
045,CA
046,CA
047,CA
048,CA
049,CA
050,CA
051,CA
052,CA
053,CA
054,CA
055,CA
056,CA
057,CA
058,CA
059,CA
060,CA
061,CA
062,CA
063,CA
064,CA
065,CA
066,CA
067,CA
068,CA
069,CA
070,CA
071,CA
072,CA
073,CA
074,CA
075,CA
076,CA
077,CA
078,CA
079,CA
080,CA
081,CA
082,CA
083,CA
084,CA
085,CA
086,CA
087,CA
088,CA
089,CA
090,CA
091,CA
092,CA
093,CA
094,CA
095,CA
096,CA
097,CA
098,CA
099,CA
100,CA
101,CA
102,CA
103,CA
104,CA
105,CA
106,CA
107,CA
108,CA
109,CA
110,CA
111,CA
112,CA
113,CA
114,CA
115,CA
116,CA
117,CA
118,CA
119,CA
120,CA
121,CA
122,CA
123,CA
124,CA
125,CA
126,CA
127,CA
128,CA
129,CA
130,CA
131,CA
132,CA
133,CA
134,CA
135,CA
136,CA
137,CA
138,CA
139,CA
140,CA
141,CA
142,CA
143,CA
144,CA
145,CA
146,CA
147,CA
148,CA
149,CA
150,CA
151,CA
152,CA
153,CA
154,CA
155,CA
156,CA
157,CA
158,CA
159,CA
160,CA
161,CA
162,CA
163,CA
164,CA
165,CA
166,CA
167,CA
168,CA
169,CA
170,CA
171,CA
172,CA
173,CA
174,CA
175,CA
176,CA
177,CA
178,CA
179,CA
180,CA
181,CA
182,CA
183,CA
184,CA
185,CA
186,CA
187,CA
188,CA
189,CA
190,CA
191,CA
192,CA
193,CA
194,CA
195,CA
196,CA
197,CA
198,CA
199,CA
200,CA
201,CA
202,CA
203,CA
204,CA
205,CA
206,CA
207,CA
208,CA
209,CA
210,CA
211,CA
212,CA
213,CA
214,CA
666,CA
