abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,price_data.volume_prices
001,,DEFAULT,CA,EUR,8999,9999,
002,,DEFAULT,CA,EUR,8999,9999,
003,,DEFAULT,CA,EUR,5850,6500,
004,,DEFAULT,CA,EUR,6300,7000,
005,,DEFAULT,CA,EUR,6300,7000,
006,,DEFAULT,CA,EUR,31050,34500,
007,,DEFAULT,CA,EUR,31050,34500,
008,,DEFAULT,CA,EUR,31050,34500,
009,,DEFAULT,CA,EUR,8999,9999,
010,,DEFAULT,CA,EUR,31140,34600,
011,,DEFAULT,CA,EUR,32940,36600,
012,,DEFAULT,CA,EUR,32940,36600,
013,,DEFAULT,CA,EUR,5129,5699,
014,,DEFAULT,CA,EUR,4121,4579,
015,,DEFAULT,CA,EUR,5400,6000,
016,,DEFAULT,CA,EUR,8999,9999,
017,,DEFAULT,CA,EUR,311129,345699,
018,,DEFAULT,CA,EUR,31139,34599,
019,,DEFAULT,CA,EUR,8999,9999,
020,,DEFAULT,CA,EUR,9522,10580,
021,,DEFAULT,CA,EUR,9612,10680,
022,,DEFAULT,CA,EUR,23400,26000,
023,,DEFAULT,CA,EUR,24051,26723,
024,,DEFAULT,CA,EUR,40050,44500,
025,,DEFAULT,CA,EUR,27000,30000,
026,,DEFAULT,CA,EUR,3780,4200,
027,,DEFAULT,CA,EUR,4410,4900,
028,,DEFAULT,CA,EUR,2700,3000,
029,,DEFAULT,CA,EUR,36922,41024,
030,,DEFAULT,CA,EUR,40522,45024,
031,,DEFAULT,CA,EUR,36022,40024,
032,,DEFAULT,CA,EUR,2520,2800,
033,,DEFAULT,CA,EUR,2250,2500,
034,,DEFAULT,CA,EUR,27917,31019,
035,,DEFAULT,CA,EUR,26772,29747,
036,,DEFAULT,CA,EUR,16199,17999,
037,,DEFAULT,CA,EUR,15299,16999,
038,,DEFAULT,CA,EUR,14399,15999,
039,,DEFAULT,CA,EUR,14309,15899,
040,,DEFAULT,CA,EUR,14219,15799,
041,,DEFAULT,CA,EUR,9342,10380,
042,,DEFAULT,CA,EUR,8172,9080,
043,,DEFAULT,CA,EUR,6590,7322,
044,,DEFAULT,CA,EUR,28934,32149,
045,,DEFAULT,CA,EUR,35295,39217,
046,,DEFAULT,CA,EUR,3707,4119,
047,,DEFAULT,CA,EUR,5152,5724,
048,,DEFAULT,CA,EUR,11020,12244,
049,,DEFAULT,CA,EUR,15025,16694,
