product_relation_key,store_name
pr-1,CA
pr-10,CA
pr-100,CA
pr-101,CA
pr-102,CA
pr-103,CA
pr-104,CA
pr-105,CA
pr-106,CA
pr-107,CA
pr-108,CA
pr-109,CA
pr-11,CA
pr-110,CA
pr-111,CA
pr-112,CA
pr-113,CA
pr-114,CA
pr-115,CA
pr-116,CA
pr-117,CA
pr-118,CA
pr-119,CA
pr-12,CA
pr-120,CA
pr-121,CA
pr-122,CA
pr-123,CA
pr-124,CA
pr-125,CA
pr-126,CA
pr-127,CA
pr-128,CA
pr-129,CA
pr-13,CA
pr-130,CA
pr-131,CA
pr-132,CA
pr-133,CA
pr-134,CA
pr-135,CA
pr-136,CA
pr-137,CA
pr-138,CA
pr-139,CA
pr-14,CA
pr-140,CA
pr-141,CA
pr-142,CA
pr-143,CA
pr-15,CA
pr-16,CA
pr-17,CA
pr-18,CA
pr-19,CA
pr-2,CA
pr-20,CA
pr-21,CA
pr-22,CA
pr-23,CA
pr-24,CA
pr-25,CA
pr-26,CA
pr-27,CA
pr-28,CA
pr-29,CA
pr-3,CA
pr-30,CA
pr-31,CA
pr-32,CA
pr-33,CA
pr-34,CA
pr-35,CA
pr-36,CA
pr-37,CA
pr-38,CA
pr-39,CA
pr-4,CA
pr-40,CA
pr-41,CA
pr-42,CA
pr-43,CA
pr-44,CA
pr-45,CA
pr-46,CA
pr-47,CA
pr-48,CA
pr-49,CA
pr-5,CA
pr-50,CA
pr-51,CA
pr-52,CA
pr-53,CA
pr-54,CA
pr-55,CA
pr-56,CA
pr-57,CA
pr-58,CA
pr-59,CA
pr-6,CA
pr-60,CA
pr-61,CA
pr-62,CA
pr-63,CA
pr-64,CA
pr-65,CA
pr-66,CA
pr-67,CA
pr-68,CA
pr-69,CA
pr-7,CA
pr-70,CA
pr-71,CA
pr-72,CA
pr-73,CA
pr-74,CA
pr-75,CA
pr-76,CA
pr-77,CA
pr-78,CA
pr-79,CA
pr-8,CA
pr-80,CA
pr-81,CA
pr-82,CA
pr-83,CA
pr-84,CA
pr-85,CA
pr-86,CA
pr-87,CA
pr-88,CA
pr-89,CA
pr-9,CA
pr-90,CA
pr-91,CA
pr-92,CA
pr-93,CA
pr-94,CA
pr-95,CA
pr-96,CA
pr-97,CA
pr-98,CA
pr-99,CA
