abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,from_included,to_included
001,,DEFAULT,AT,CHF,,10924,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
001,,DEFAULT,AT,CHF,,8624,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
001,,DEFAULT,AT,CHF,,4312,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
001,,DEFAULT,AT,EUR,,9499,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
001,,DEFAULT,AT,EUR,,7499,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
001,,DEFAULT,AT,EUR,,3750,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
002,,DEFAULT,AT,CHF,,10924,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
002,,DEFAULT,AT,CHF,,8624,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
002,,DEFAULT,AT,CHF,,4312,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
002,,DEFAULT,AT,EUR,,9499,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
002,,DEFAULT,AT,EUR,,7499,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
002,,DEFAULT,AT,EUR,,3750,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
003,,DEFAULT,AT,CHF,,7101,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
003,,DEFAULT,AT,CHF,,5606,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
003,,DEFAULT,AT,CHF,,2803,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
003,,DEFAULT,AT,EUR,,6175,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
003,,DEFAULT,AT,EUR,,4875,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
003,,DEFAULT,AT,EUR,,2438,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
004,,DEFAULT,AT,CHF,,7648,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
004,,DEFAULT,AT,CHF,,6038,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
004,,DEFAULT,AT,CHF,,3019,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
004,,DEFAULT,AT,EUR,,6650,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
004,,DEFAULT,AT,EUR,,5250,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
004,,DEFAULT,AT,EUR,,2625,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
005,,DEFAULT,AT,CHF,,7648,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
005,,DEFAULT,AT,CHF,,6038,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
005,,DEFAULT,AT,CHF,,3019,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
005,,DEFAULT,AT,EUR,,6650,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
005,,DEFAULT,AT,EUR,,5250,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
005,,DEFAULT,AT,EUR,,2625,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
006,,DEFAULT,AT,CHF,,37691,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
006,,DEFAULT,AT,CHF,,29756,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
006,,DEFAULT,AT,CHF,,14878,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
006,,DEFAULT,AT,EUR,,32775,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
006,,DEFAULT,AT,EUR,,25875,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
006,,DEFAULT,AT,EUR,,12938,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
007,,DEFAULT,AT,CHF,,37691,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
007,,DEFAULT,AT,CHF,,29756,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
007,,DEFAULT,AT,CHF,,14878,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
007,,DEFAULT,AT,EUR,,32775,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
007,,DEFAULT,AT,EUR,,25875,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
