product_relation_key,store_name
pr-1,AT
pr-10,AT
pr-100,AT
pr-101,AT
pr-102,AT
pr-103,AT
pr-104,AT
pr-105,AT
pr-106,AT
pr-107,AT
pr-108,AT
pr-109,AT
pr-11,AT
pr-110,AT
pr-111,AT
pr-112,AT
pr-113,AT
pr-114,AT
pr-115,AT
pr-116,AT
pr-117,AT
pr-118,AT
pr-119,AT
pr-12,AT
pr-120,AT
pr-121,AT
pr-122,AT
pr-123,AT
pr-124,AT
pr-125,AT
pr-126,AT
pr-127,AT
pr-128,AT
pr-129,AT
pr-13,AT
pr-130,AT
pr-131,AT
pr-132,AT
pr-133,AT
pr-134,AT
pr-135,AT
pr-136,AT
pr-137,AT
pr-138,AT
pr-139,AT
pr-14,AT
pr-140,AT
pr-141,AT
pr-142,AT
pr-143,AT
pr-15,AT
pr-16,AT
pr-17,AT
pr-18,AT
pr-19,AT
pr-2,AT
pr-20,AT
pr-21,AT
pr-22,AT
pr-23,AT
pr-24,AT
pr-25,AT
pr-26,AT
pr-27,AT
pr-28,AT
pr-29,AT
pr-3,AT
pr-30,AT
pr-31,AT
pr-32,AT
pr-33,AT
pr-34,AT
pr-35,AT
pr-36,AT
pr-37,AT
pr-38,AT
pr-39,AT
pr-4,AT
pr-40,AT
pr-41,AT
pr-42,AT
pr-43,AT
pr-44,AT
pr-45,AT
pr-46,AT
pr-47,AT
pr-48,AT
pr-49,AT
pr-5,AT
pr-50,AT
pr-51,AT
pr-52,AT
pr-53,AT
pr-54,AT
pr-55,AT
pr-56,AT
pr-57,AT
pr-58,AT
pr-59,AT
pr-6,AT
pr-60,AT
pr-61,AT
pr-62,AT
pr-63,AT
pr-64,AT
pr-65,AT
pr-66,AT
pr-67,AT
pr-68,AT
pr-69,AT
pr-7,AT
pr-70,AT
pr-71,AT
pr-72,AT
pr-73,AT
pr-74,AT
pr-75,AT
pr-76,AT
pr-77,AT
pr-78,AT
pr-79,AT
pr-8,AT
pr-80,AT
pr-81,AT
pr-82,AT
pr-83,AT
pr-84,AT
pr-85,AT
pr-86,AT
pr-87,AT
pr-88,AT
pr-89,AT
pr-9,AT
pr-90,AT
pr-91,AT
pr-92,AT
pr-93,AT
pr-94,AT
pr-95,AT
pr-96,AT
pr-97,AT
pr-98,AT
pr-99,AT
