shipment_method_key,store,currency,value_net,value_gross
spryker_dummy_shipment-standard,AT,EUR,,390
spryker_dummy_shipment-express,AT,EUR,,490
spryker_drone_shipment-air_standard,AT,EUR,,400
spryker_drone_shipment-air_sonic,AT,EUR,,900
spryker_drone_shipment-air_light,AT,EUR,,1200
spryker_dummy_shipment-standard,AT,CHF,,460
spryker_dummy_shipment-express,AT,CHF,,580
spryker_drone_shipment-air_standard,AT,CHF,,480
spryker_drone_shipment-air_sonic,AT,CHF,,1100
spryker_drone_shipment-air_light,AT,CHF,,1600
spryker_no_shipment,AT,EUR,,0
spryker_no_shipment,AT,CHF,,0
