product_relation_key,store_name
pr-1,AU
pr-10,AU
pr-100,AU
pr-101,AU
pr-102,AU
pr-103,AU
pr-104,AU
pr-105,AU
pr-106,AU
pr-107,AU
pr-108,AU
pr-109,AU
pr-11,AU
pr-110,AU
pr-111,AU
pr-112,AU
pr-113,AU
pr-114,AU
pr-115,AU
pr-116,AU
pr-117,AU
pr-118,AU
pr-119,AU
pr-12,AU
pr-120,AU
pr-121,AU
pr-122,AU
pr-123,AU
pr-124,AU
pr-125,AU
pr-126,AU
pr-127,AU
pr-128,AU
pr-129,AU
pr-13,AU
pr-130,AU
pr-131,AU
pr-132,AU
pr-133,AU
pr-134,AU
pr-135,AU
pr-136,AU
pr-137,AU
pr-138,AU
pr-139,AU
pr-14,AU
pr-140,AU
pr-141,AU
pr-142,AU
pr-143,AU
pr-15,AU
pr-16,AU
pr-17,AU
pr-18,AU
pr-19,AU
pr-2,AU
pr-20,AU
pr-21,AU
pr-22,AU
pr-23,AU
pr-24,AU
pr-25,AU
pr-26,AU
pr-27,AU
pr-28,AU
pr-29,AU
pr-3,AU
pr-30,AU
pr-31,AU
pr-32,AU
pr-33,AU
pr-34,AU
pr-35,AU
pr-36,AU
pr-37,AU
pr-38,AU
pr-39,AU
pr-4,AU
pr-40,AU
pr-41,AU
pr-42,AU
pr-43,AU
pr-44,AU
pr-45,AU
pr-46,AU
pr-47,AU
pr-48,AU
pr-49,AU
pr-5,AU
pr-50,AU
pr-51,AU
pr-52,AU
pr-53,AU
pr-54,AU
pr-55,AU
pr-56,AU
pr-57,AU
pr-58,AU
pr-59,AU
pr-6,AU
pr-60,AU
pr-61,AU
pr-62,AU
pr-63,AU
pr-64,AU
pr-65,AU
pr-66,AU
pr-67,AU
pr-68,AU
pr-69,AU
pr-7,AU
pr-70,AU
pr-71,AU
pr-72,AU
pr-73,AU
pr-74,AU
pr-75,AU
pr-76,AU
pr-77,AU
pr-78,AU
pr-79,AU
pr-8,AU
pr-80,AU
pr-81,AU
pr-82,AU
pr-83,AU
pr-84,AU
pr-85,AU
pr-86,AU
pr-87,AU
pr-88,AU
pr-89,AU
pr-9,AU
pr-90,AU
pr-91,AU
pr-92,AU
pr-93,AU
pr-94,AU
pr-95,AU
pr-96,AU
pr-97,AU
pr-98,AU
pr-99,AU
