shipment_method_key,store,currency,value_net,value_gross
spryker_dummy_shipment-standard,CA,EUR,290,390
spryker_dummy_shipment-express,CA,EUR,390,490
spryker_drone_shipment-air_standard,CA,EUR,350,400
spryker_drone_shipment-air_sonic,CA,EUR,700,900
spryker_drone_shipment-air_light,CA,EUR,1100,1200
spryker_dummy_shipment-standard,CA,CHF,350,460
spryker_dummy_shipment-express,CA,CHF,460,580
spryker_drone_shipment-air_standard,CA,CHF,420,480
spryker_drone_shipment-air_sonic,CA,CHF,720,1100
spryker_drone_shipment-air_light,CA,CHF,1300,1600
spryker_no_shipment,CA,EUR,0,0
spryker_no_shipment,CA,CHF,0,0
