abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,price_data.volume_prices
001,,DEFAULT,DE,EUR,,9999,
002,,DEFAULT,DE,EUR,,9999,
003,,DEFAULT,DE,EUR,,6500,
004,,DEFAULT,DE,EUR,,7000,
005,,DEFAULT,DE,EUR,,7000,
006,,DEFAULT,DE,EUR,,34500,
007,,DEFAULT,DE,EUR,,34500,
008,,DEFAULT,DE,EUR,,34500,
009,,DEFAULT,DE,EUR,,9999,
010,,DEFAULT,DE,EUR,,34600,
011,,DEFAULT,DE,EUR,,36600,
012,,DEFAULT,DE,EUR,,36600,
013,,DEFAULT,DE,EUR,,5699,
014,,DEFAULT,DE,EUR,,4579,
015,,DEFAULT,DE,EUR,,6000,
016,,DEFAULT,DE,EUR,,9999,
017,,DEFAULT,DE,EUR,,345699,
018,,DEFAULT,DE,EUR,,34599,
019,,DEFAULT,DE,EUR,,9999,
020,,DEFAULT,DE,EUR,,10580,
021,,DEFAULT,DE,EUR,,10680,
022,,DEFAULT,DE,EUR,,26000,
023,,DEFAULT,DE,EUR,,26723,
024,,DEFAULT,DE,EUR,,44500,
025,,DEFAULT,DE,EUR,,30000,
026,,DEFAULT,DE,EUR,,4200,
027,,DEFAULT,DE,EUR,,4900,
028,,DEFAULT,DE,EUR,,3000,
029,,DEFAULT,DE,EUR,,41024,
030,,DEFAULT,DE,EUR,,45024,
031,,DEFAULT,DE,EUR,,40024,
032,,DEFAULT,DE,EUR,,2800,
033,,DEFAULT,DE,EUR,,2500,
034,,DEFAULT,DE,EUR,,31019,
035,,DEFAULT,DE,EUR,,29747,
036,,DEFAULT,DE,EUR,,17999,
037,,DEFAULT,DE,EUR,,16999,
038,,DEFAULT,DE,EUR,,15999,
039,,DEFAULT,DE,EUR,,15899,
040,,DEFAULT,DE,EUR,,15799,
041,,DEFAULT,DE,EUR,,10380,
042,,DEFAULT,DE,EUR,,9080,
043,,DEFAULT,DE,EUR,,7322,
044,,DEFAULT,DE,EUR,,32149,
045,,DEFAULT,DE,EUR,,39217,
046,,DEFAULT,DE,EUR,,4119,
047,,DEFAULT,DE,EUR,,5724,
048,,DEFAULT,DE,EUR,,12244,
049,,DEFAULT,DE,EUR,,16694,
050,,DEFAULT,DE,EUR,,30784,
051,,DEFAULT,DE,EUR,,12428,
,051_29567823,DEFAULT,DE,EUR,,12000,
,051_30107816,DEFAULT,DE,EUR,,12500,
,051_30614390,DEFAULT,DE,EUR,,12800,
052,,DEFAULT,DE,EUR,,9002,
,052_29567823,DEFAULT,DE,EUR,,8900,
,052_30107816,DEFAULT,DE,EUR,,10500,
,052_30614390,DEFAULT,DE,EUR,,8500,
053,,DEFAULT,DE,EUR,,40651,
,053_29567823,DEFAULT,DE,EUR,,35435,
054,,DEFAULT,DE,EUR,,1879,
055,,DEFAULT,DE,EUR,,19137,
056,,DEFAULT,DE,EUR,,33265,
057,,DEFAULT,DE,EUR,,41339,
058,,DEFAULT,DE,EUR,,26432,
,058_24245592,DEFAULT,DE,EUR,,3454,
,058_26175504,DEFAULT,DE,EUR,,42957,
059,,DEFAULT,DE,EUR,,36742,
,059_24245592,DEFAULT,DE,EUR,,21192,
,059_26175504,DEFAULT,DE,EUR,,44182,
,059_26027598,DEFAULT,DE,EUR,,37358,
060,,DEFAULT,DE,EUR,,41837,
,060_24245592,DEFAULT,DE,EUR,,7429,
,060_26175504,DEFAULT,DE,EUR,,41837,
,060_26027598,DEFAULT,DE,EUR,,39810,
061,,DEFAULT,DE,EUR,,27975,
062,,DEFAULT,DE,EUR,,2952,
063,,DEFAULT,DE,EUR,,19700,
064,,DEFAULT,DE,EUR,,5448,
065,,DEFAULT,DE,EUR,,32166,
066,,DEFAULT,DE,EUR,,39353,
067,,DEFAULT,DE,EUR,,22240,
068,,DEFAULT,DE,EUR,,8005,
069,,DEFAULT,DE,EUR,,20012,
070,,DEFAULT,DE,EUR,,29678,
,070_133745031,DEFAULT,DE,EUR,,44436,
,070_203704321,DEFAULT,DE,EUR,,17077,
,070_133913221,DEFAULT,DE,EUR,,40462,
,070_133745032,DEFAULT,DE,EUR,,24435,
,070_203704322,DEFAULT,DE,EUR,,42131,
,070_133913222,DEFAULT,DE,EUR,,41575,
,070_133745033,DEFAULT,DE,EUR,,11714,
071,,DEFAULT,DE,EUR,,10624,
072,,DEFAULT,DE,EUR,,41587,
,072_19618271,DEFAULT,DE,EUR,,16647,
,072_21927455,DEFAULT,DE,EUR,,13643,
073,,DEFAULT,DE,EUR,,43458,
,073_19618271,DEFAULT,DE,EUR,,6707,
,073_21927455,DEFAULT,DE,EUR,,31670,
074,,DEFAULT,DE,EUR,,1988,
075,,DEFAULT,DE,EUR,,34566,
076,,DEFAULT,DE,EUR,,35711,
077,,DEFAULT,DE,EUR,,14554,
078,,DEFAULT,DE,EUR,,25584,
079,,DEFAULT,DE,EUR,,42502,
080,,DEFAULT,DE,EUR,,25214,
081,,DEFAULT,DE,EUR,,39107,
082,,DEFAULT,DE,EUR,,37090,
083,,DEFAULT,DE,EUR,,33253,
084,,DEFAULT,DE,EUR,,32355,
085,,DEFAULT,DE,EUR,,38168,
086,,DEFAULT,DE,EUR,,18001,
087,,DEFAULT,DE,EUR,,18415,
088,,DEFAULT,DE,EUR,,9865,
089,,DEFAULT,DE,EUR,,41393,
090,,DEFAULT,DE,EUR,,20160,
091,,DEFAULT,DE,EUR,,19712,
092,,DEFAULT,DE,EUR,,17459,
093,,DEFAULT,DE,EUR,,24899,
094,,DEFAULT,DE,EUR,,28178,
