shipment_method_key,store,currency,value_net,value_gross
spryker_dummy_shipment-standard,DE,EUR,,490
spryker_dummy_shipment-express,DE,EUR,,590
spryker_drone_shipment-air_standard,DE,EUR,,500
spryker_drone_shipment-air_sonic,DE,EUR,,1000
spryker_drone_shipment-air_light,DE,EUR,,1500
spryker_dummy_shipment-standard,DE,CHF,,560
spryker_dummy_shipment-express,DE,CHF,,680
spryker_drone_shipment-air_standard,DE,CHF,,580
spryker_drone_shipment-air_sonic,DE,CHF,,1200
spryker_drone_shipment-air_light,DE,CHF,,1700
spryker_no_shipment,DE,EUR,,0
spryker_no_shipment,DE,CHF,,0
