block_key,store_name
blck-5,HR
blck-4,HR
blck-1,HR
blck-2,HR
blck-3,HR
blck-8,HR
blck-10,HR
blck-9,HR
blck-11,HR
blck-6,HR
blck-7,HR
blck-12,HR
blck-13,HR
blck-14,HR
blck-15,HR
blck-16,HR
blck-17,HR
blck-18,HR
blck-19,HR
blck-20,HR
blck-21,HR
blck-22,HR
blck-23,HR
blck-24,HR
blck-25,HR
blck-26,HR
blck-27,HR
blck-28,HR
blck-29,HR
blck-30,HR
blck-31,HR
blck-nav-desktop,HR
blck-nav-mobile,HR
blck-nav-footer,HR
cms-block-email--customer-registration--html,HR
cms-block-email--customer-registration--text,HR
cms-block-email--customer-registration_token--html,HR
cms-block-email--customer-registration_token--text,HR
cms-block-email--customer-restore-password--html,HR
cms-block-email--customer-restore-password--text,HR
cms-block-email--customer-restored-password-confirmation--html,HR
cms-block-email--customer-restored-password-confirmation--text,HR
cms-block-email--restore-password--html,HR
cms-block-email--restore-password--text,HR
cms-block-email--availability-notification-subscription--html,HR
cms-block-email--availability-notification-subscription--text,HR
cms-block-email--availability-notification-unsubscribed--html,HR
cms-block-email--availability-notification-unsubscribed--text,HR
cms-block-email--availability-notification--html,HR
cms-block-email--availability-notification--text,HR
cms-block-email--gift-card-delivery--html,HR
cms-block-email--gift-card-delivery--text,HR
cms-block-email--gift-card-usage--html,HR
cms-block-email--gift-card-usage--text,HR
cms-block-email--newsletter-subscribed--html,HR
cms-block-email--newsletter-subscribed--text,HR
cms-block-email--newsletter-unsubscribed--html,HR
cms-block-email--newsletter-unsubscribed--text,HR
cms-block-email--order-confirmation--html,HR
cms-block-email--order-confirmation--text,HR
cms-block-email--order-shipped--html,HR
cms-block-email--order-shipped--text,HR
