abstract_sku,store_name
001,HR
002,HR
003,HR
004,HR
005,HR
006,HR
007,HR
008,HR
009,HR
010,HR
011,HR
012,HR
013,HR
014,HR
015,HR
016,HR
017,HR
018,HR
019,HR
020,HR
021,HR
022,HR
023,HR
024,HR
025,HR
026,HR
027,HR
028,HR
029,HR
030,HR
031,HR
032,HR
033,HR
034,HR
035,HR
036,HR
037,HR
038,HR
039,HR
040,HR
041,HR
042,HR
043,HR
044,HR
045,HR
046,HR
047,HR
048,HR
049,HR
050,HR
051,HR
052,HR
053,HR
054,HR
055,HR
056,HR
057,HR
058,HR
059,HR
060,HR
061,HR
062,HR
063,HR
064,HR
065,HR
066,HR
067,HR
068,HR
069,HR
070,HR
071,HR
072,HR
073,HR
074,HR
075,HR
076,HR
077,HR
078,HR
079,HR
080,HR
081,HR
082,HR
083,HR
084,HR
085,HR
086,HR
087,HR
088,HR
089,HR
090,HR
091,HR
092,HR
093,HR
094,HR
095,HR
096,HR
097,HR
098,HR
099,HR
100,HR
101,HR
102,HR
103,HR
104,HR
105,HR
106,HR
107,HR
108,HR
109,HR
110,HR
111,HR
112,HR
113,HR
114,HR
115,HR
116,HR
117,HR
118,HR
119,HR
120,HR
121,HR
122,HR
123,HR
124,HR
125,HR
126,HR
127,HR
128,HR
129,HR
130,HR
131,HR
132,HR
133,HR
134,HR
135,HR
136,HR
137,HR
138,HR
139,HR
140,HR
141,HR
142,HR
143,HR
144,HR
145,HR
146,HR
147,HR
148,HR
149,HR
150,HR
151,HR
152,HR
153,HR
154,HR
155,HR
156,HR
157,HR
158,HR
159,HR
160,HR
161,HR
162,HR
163,HR
164,HR
165,HR
166,HR
167,HR
168,HR
169,HR
170,HR
171,HR
172,HR
173,HR
174,HR
175,HR
176,HR
177,HR
178,HR
179,HR
180,HR
181,HR
182,HR
183,HR
184,HR
185,HR
186,HR
187,HR
188,HR
189,HR
190,HR
191,HR
192,HR
193,HR
194,HR
195,HR
196,HR
197,HR
198,HR
199,HR
200,HR
201,HR
202,HR
203,HR
204,HR
205,HR
206,HR
207,HR
208,HR
209,HR
210,HR
211,HR
212,HR
213,HR
214,HR
666,HR
