shipment_method_key,store,currency,value_net,value_gross
spryker_dummy_shipment-standard,HR,EUR,390,490
spryker_dummy_shipment-express,HR,EUR,490,590
spryker_drone_shipment-air_standard,HR,EUR,450,500
spryker_drone_shipment-air_sonic,HR,EUR,800,1000
spryker_drone_shipment-air_light,HR,EUR,1200,1500
spryker_dummy_shipment-standard,HR,CHF,450,560
spryker_dummy_shipment-express,HR,CHF,560,680
spryker_drone_shipment-air_standard,HR,CHF,520,580
spryker_drone_shipment-air_sonic,HR,CHF,920,1200
spryker_drone_shipment-air_light,HR,CHF,1400,1700
spryker_no_shipment,HR,EUR,0,0
spryker_no_shipment,HR,CHF,0,0
