abstract_sku,store_name
001,KR
002,KR
003,KR
004,KR
005,KR
006,KR
007,KR
008,KR
009,KR
010,KR
011,KR
012,KR
013,KR
014,KR
015,KR
016,KR
017,KR
018,KR
019,KR
020,KR
021,KR
022,KR
023,KR
024,KR
025,KR
026,KR
027,KR
028,KR
029,KR
030,KR
031,KR
032,KR
033,KR
034,KR
035,KR
036,KR
037,KR
038,KR
039,KR
040,KR
041,KR
042,KR
043,KR
044,KR
045,KR
046,KR
047,KR
048,KR
049,KR
050,KR
051,KR
052,KR
053,KR
054,KR
055,KR
056,KR
057,KR
058,KR
059,KR
060,KR
061,KR
062,KR
063,KR
064,KR
065,KR
066,KR
067,KR
068,KR
069,KR
070,KR
071,KR
072,KR
073,KR
074,KR
075,KR
076,KR
077,KR
078,KR
079,KR
080,KR
081,KR
082,KR
083,KR
084,KR
085,KR
086,KR
087,KR
088,KR
089,KR
090,KR
091,KR
092,KR
093,KR
094,KR
095,KR
096,KR
097,KR
098,KR
099,KR
100,KR
101,KR
102,KR
103,KR
104,KR
105,KR
106,KR
107,KR
108,KR
109,KR
110,KR
111,KR
112,KR
113,KR
114,KR
115,KR
116,KR
117,KR
118,KR
119,KR
120,KR
121,KR
122,KR
123,KR
124,KR
125,KR
126,KR
127,KR
128,KR
129,KR
130,KR
131,KR
132,KR
133,KR
134,KR
135,KR
136,KR
137,KR
138,KR
139,KR
140,KR
141,KR
142,KR
143,KR
144,KR
145,KR
146,KR
147,KR
148,KR
149,KR
150,KR
151,KR
152,KR
153,KR
154,KR
155,KR
156,KR
157,KR
158,KR
159,KR
160,KR
161,KR
162,KR
163,KR
164,KR
165,KR
166,KR
167,KR
168,KR
169,KR
170,KR
171,KR
172,KR
173,KR
174,KR
175,KR
176,KR
177,KR
178,KR
179,KR
180,KR
181,KR
182,KR
183,KR
184,KR
185,KR
186,KR
187,KR
188,KR
189,KR
190,KR
191,KR
192,KR
193,KR
194,KR
195,KR
196,KR
197,KR
198,KR
199,KR
200,KR
201,KR
202,KR
203,KR
204,KR
205,KR
206,KR
207,KR
208,KR
209,KR
210,KR
211,KR
212,KR
213,KR
214,KR
666,KR
