abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,price_data.volume_prices
001,,DEFAULT,KR,EUR,8999,9999,
002,,DEFAULT,KR,EUR,8999,9999,
003,,DEFAULT,KR,EUR,5850,6500,
004,,DEFAULT,KR,EUR,6300,7000,
005,,DEFAULT,KR,EUR,6300,7000,
006,,DEFAULT,KR,EUR,31050,34500,
007,,DEFAULT,KR,EUR,31050,34500,
008,,DEFAULT,KR,EUR,31050,34500,
009,,DEFAULT,KR,EUR,8999,9999,
010,,DEFAULT,KR,EUR,31140,34600,
011,,DEFAULT,KR,EUR,32940,36600,
012,,DEFAULT,KR,EUR,32940,36600,
013,,DEFAULT,KR,EUR,5129,5699,
014,,DEFAULT,KR,EUR,4121,4579,
015,,DEFAULT,KR,EUR,5400,6000,
016,,DEFAULT,KR,EUR,8999,9999,
017,,DEFAULT,KR,EUR,311129,345699,
018,,DEFAULT,KR,EUR,31139,34599,
019,,DEFAULT,KR,EUR,8999,9999,
020,,DEFAULT,KR,EUR,9522,10580,
021,,DEFAULT,KR,EUR,9612,10680,
022,,DEFAULT,KR,EUR,23400,26000,
023,,DEFAULT,KR,EUR,24051,26723,
024,,DEFAULT,KR,EUR,40050,44500,
025,,DEFAULT,KR,EUR,27000,30000,
026,,DEFAULT,KR,EUR,3780,4200,
027,,DEFAULT,KR,EUR,4410,4900,
028,,DEFAULT,KR,EUR,2700,3000,
029,,DEFAULT,KR,EUR,36922,41024,
030,,DEFAULT,KR,EUR,40522,45024,
031,,DEFAULT,KR,EUR,36022,40024,
032,,DEFAULT,KR,EUR,2520,2800,
033,,DEFAULT,KR,EUR,2250,2500,
034,,DEFAULT,KR,EUR,27917,31019,
035,,DEFAULT,KR,EUR,26772,29747,
036,,DEFAULT,KR,EUR,16199,17999,
037,,DEFAULT,KR,EUR,15299,16999,
038,,DEFAULT,KR,EUR,14399,15999,
039,,DEFAULT,KR,EUR,14309,15899,
040,,DEFAULT,KR,EUR,14219,15799,
041,,DEFAULT,KR,EUR,9342,10380,
042,,DEFAULT,KR,EUR,8172,9080,
043,,DEFAULT,KR,EUR,6590,7322,
044,,DEFAULT,KR,EUR,28934,32149,
045,,DEFAULT,KR,EUR,35295,39217,
046,,DEFAULT,KR,EUR,3707,4119,
047,,DEFAULT,KR,EUR,5152,5724,
048,,DEFAULT,KR,EUR,11020,12244,
049,,DEFAULT,KR,EUR,15025,16694,
050,,DEFAULT,KR,EUR,27706,30784,
051,,DEFAULT,KR,EUR,11185,12428,
,051_29567823,DEFAULT,KR,EUR,10800,12000,
,051_30107816,DEFAULT,KR,EUR,11250,12500,
,051_30614390,DEFAULT,KR,EUR,11520,12800,
052,,DEFAULT,KR,EUR,8102,9002,
,052_29567823,DEFAULT,KR,EUR,8010,8900,
,052_30107816,DEFAULT,KR,EUR,9450,10500,
,052_30614390,DEFAULT,KR,EUR,7650,8500,
053,,DEFAULT,KR,EUR,36586,40651,
,053_29567823,DEFAULT,KR,EUR,31892,35435,
054,,DEFAULT,KR,EUR,1691,1879,
055,,DEFAULT,KR,EUR,17223,19137,
056,,DEFAULT,KR,EUR,29939,33265,
057,,DEFAULT,KR,EUR,37205,41339,
058,,DEFAULT,KR,EUR,23789,26432,
,058_24245592,DEFAULT,KR,EUR,3109,3454,
,058_26175504,DEFAULT,KR,EUR,38661,42957,
059,,DEFAULT,KR,EUR,33068,36742,
,059_24245592,DEFAULT,KR,EUR,19073,21192,
,059_26175504,DEFAULT,KR,EUR,39764,44182,
,059_26027598,DEFAULT,KR,EUR,33622,37358,
060,,DEFAULT,KR,EUR,37653,41837,
,060_24245592,DEFAULT,KR,EUR,6686,7429,
,060_26175504,DEFAULT,KR,EUR,37653,41837,
,060_26027598,DEFAULT,KR,EUR,35829,39810,
061,,DEFAULT,KR,EUR,25178,27975,
062,,DEFAULT,KR,EUR,2657,2952,
063,,DEFAULT,KR,EUR,17730,19700,
064,,DEFAULT,KR,EUR,4903,5448,
065,,DEFAULT,KR,EUR,28949,32166,
066,,DEFAULT,KR,EUR,35418,39353,
067,,DEFAULT,KR,EUR,20016,22240,
068,,DEFAULT,KR,EUR,7205,8005,
069,,DEFAULT,KR,EUR,18011,20012,
070,,DEFAULT,KR,EUR,26710,29678,
,070_133745031,DEFAULT,KR,EUR,39992,44436,
,070_203704321,DEFAULT,KR,EUR,15369,17077,
,070_133913221,DEFAULT,KR,EUR,36416,40462,
,070_133745032,DEFAULT,KR,EUR,21992,24435,
,070_203704322,DEFAULT,KR,EUR,37918,42131,
,070_133913222,DEFAULT,KR,EUR,37418,41575,
,070_133745033,DEFAULT,KR,EUR,10543,11714,
071,,DEFAULT,KR,EUR,9562,10624,
072,,DEFAULT,KR,EUR,37428,41587,
,072_19618271,DEFAULT,KR,EUR,14982,16647,
,072_21927455,DEFAULT,KR,EUR,12279,13643,
073,,DEFAULT,KR,EUR,39112,43458,
,073_19618271,DEFAULT,KR,EUR,6036,6707,
,073_21927455,DEFAULT,KR,EUR,28503,31670,
074,,DEFAULT,KR,EUR,1789,1988,
075,,DEFAULT,KR,EUR,31109,34566,
076,,DEFAULT,KR,EUR,32140,35711,
077,,DEFAULT,KR,EUR,13099,14554,
078,,DEFAULT,KR,EUR,23026,25584,
079,,DEFAULT,KR,EUR,38252,42502,
080,,DEFAULT,KR,EUR,22693,25214,
081,,DEFAULT,KR,EUR,35196,39107,
082,,DEFAULT,KR,EUR,33381,37090,
083,,DEFAULT,KR,EUR,29928,33253,
084,,DEFAULT,KR,EUR,29120,32355,
085,,DEFAULT,KR,EUR,34351,38168,
086,,DEFAULT,KR,EUR,16201,18001,
087,,DEFAULT,KR,EUR,16574,18415,
088,,DEFAULT,KR,EUR,8879,9865,
089,,DEFAULT,KR,EUR,37254,41393,
090,,DEFAULT,KR,EUR,18144,20160,
091,,DEFAULT,KR,EUR,17741,19712,
092,,DEFAULT,KR,EUR,15713,17459,
093,,DEFAULT,KR,EUR,22409,24899,
094,,DEFAULT,KR,EUR,25360,28178,
095,,DEFAULT,KR,EUR,16195,17994,
096,,DEFAULT,KR,EUR,25975,28861,
097,,DEFAULT,KR,EUR,35520,39467,
098,,DEFAULT,KR,EUR,22446,24940,
099,,DEFAULT,KR,EUR,20709,23010,
100,,DEFAULT,KR,EUR,5649,6277,
101,,DEFAULT,KR,EUR,29618,32909,
102,,DEFAULT,KR,EUR,12479,13865,
103,,DEFAULT,KR,EUR,18229,20254,
104,,DEFAULT,KR,EUR,3526,3918,
105,,DEFAULT,KR,EUR,23977,26641,
106,,DEFAULT,KR,EUR,40242,44713,
107,,DEFAULT,KR,EUR,10450,11611,
108,,DEFAULT,KR,EUR,15997,17774,
109,,DEFAULT,KR,EUR,11315,12572,
