shipment_method_key,store,currency,value_net,value_gross
spryker_dummy_shipment-standard,KR,EUR,290,390
spryker_dummy_shipment-express,KR,EUR,390,490
spryker_drone_shipment-air_standard,KR,EUR,350,400
spryker_drone_shipment-air_sonic,KR,EUR,700,900
spryker_drone_shipment-air_light,KR,EUR,1100,1200
spryker_dummy_shipment-standard,KR,CHF,350,460
spryker_dummy_shipment-express,KR,CHF,460,580
spryker_drone_shipment-air_standard,KR,CHF,420,480
spryker_drone_shipment-air_sonic,KR,CHF,720,1100
spryker_drone_shipment-air_light,KR,CHF,1300,1600
spryker_no_shipment,KR,EUR,0,0
spryker_no_shipment,KR,CHF,0,0
