block_key,store_name
blck-5,NZ
blck-4,NZ
blck-1,NZ
blck-2,NZ
blck-3,NZ
blck-8,NZ
blck-10,NZ
blck-9,NZ
blck-11,NZ
blck-6,NZ
blck-7,NZ
blck-12,NZ
blck-13,NZ
blck-14,NZ
blck-15,NZ
blck-16,NZ
blck-17,NZ
blck-18,NZ
blck-19,NZ
blck-20,NZ
blck-21,NZ
blck-22,NZ
blck-23,NZ
blck-24,NZ
blck-25,NZ
blck-26,NZ
blck-27,NZ
blck-28,NZ
blck-29,NZ
blck-30,NZ
blck-31,NZ
blck-nav-desktop,NZ
blck-nav-mobile,NZ
blck-nav-footer,NZ
cms-block-email--customer-registration--html,NZ
cms-block-email--customer-registration--text,NZ
cms-block-email--customer-registration_token--html,NZ
cms-block-email--customer-registration_token--text,NZ
cms-block-email--customer-restore-password--html,NZ
cms-block-email--customer-restore-password--text,NZ
cms-block-email--customer-restored-password-confirmation--html,NZ
cms-block-email--customer-restored-password-confirmation--text,NZ
cms-block-email--restore-password--html,NZ
cms-block-email--restore-password--text,NZ
cms-block-email--availability-notification-subscription--html,NZ
cms-block-email--availability-notification-subscription--text,NZ
cms-block-email--availability-notification-unsubscribed--html,NZ
cms-block-email--availability-notification-unsubscribed--text,NZ
cms-block-email--availability-notification--html,NZ
cms-block-email--availability-notification--text,NZ
cms-block-email--gift-card-delivery--html,NZ
cms-block-email--gift-card-delivery--text,NZ
cms-block-email--gift-card-usage--html,NZ
cms-block-email--gift-card-usage--text,NZ
cms-block-email--newsletter-subscribed--html,NZ
cms-block-email--newsletter-subscribed--text,NZ
cms-block-email--newsletter-unsubscribed--html,NZ
cms-block-email--newsletter-unsubscribed--text,NZ
cms-block-email--order-confirmation--html,NZ
cms-block-email--order-confirmation--text,NZ
cms-block-email--order-shipped--html,NZ
cms-block-email--order-shipped--text,NZ
