block_key,store_name
blck-5,US
blck-4,US
blck-1,US
blck-2,US
blck-3,US
blck-8,US
blck-10,US
blck-9,US
blck-11,US
blck-6,US
blck-7,US
blck-12,US
blck-13,US
blck-14,US
blck-15,US
blck-16,US
blck-17,US
blck-18,US
blck-19,US
blck-20,US
blck-21,US
blck-22,US
blck-23,US
blck-24,US
blck-25,US
blck-26,US
blck-27,US
blck-28,US
blck-29,US
blck-30,US
blck-31,US
blck-nav-desktop,US
blck-nav-mobile,US
blck-nav-footer,US
cms-block-email--customer-registration--html,US
cms-block-email--customer-registration--text,US
cms-block-email--customer-registration_token--html,US
cms-block-email--customer-registration_token--text,US
cms-block-email--customer-restore-password--html,US
cms-block-email--customer-restore-password--text,US
cms-block-email--customer-restored-password-confirmation--html,US
cms-block-email--customer-restored-password-confirmation--text,US
cms-block-email--restore-password--html,US
cms-block-email--restore-password--text,US
cms-block-email--availability-notification-subscription--html,US
cms-block-email--availability-notification-subscription--text,US
cms-block-email--availability-notification-unsubscribed--html,US
cms-block-email--availability-notification-unsubscribed--text,US
cms-block-email--availability-notification--html,US
cms-block-email--availability-notification--text,US
cms-block-email--gift-card-delivery--html,US
cms-block-email--gift-card-delivery--text,US
cms-block-email--gift-card-usage--html,US
cms-block-email--gift-card-usage--text,US
cms-block-email--newsletter-subscribed--html,US
cms-block-email--newsletter-subscribed--text,US
cms-block-email--newsletter-unsubscribed--html,US
cms-block-email--newsletter-unsubscribed--text,US
cms-block-email--order-confirmation--html,US
cms-block-email--order-confirmation--text,US
cms-block-email--order-shipped--html,US
cms-block-email--order-shipped--text,US
