abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,price_data.volume_prices
001,,DEFAULT,US,EUR,8999,,
002,,DEFAULT,US,EUR,8999,,
003,,DEFAULT,US,EUR,5850,,
004,,DEFAULT,US,EUR,6300,,
005,,DEFAULT,US,EUR,6300,,
006,,DEFAULT,US,EUR,31050,,
007,,DEFAULT,US,EUR,31050,,
008,,DEFAULT,US,EUR,31050,,
009,,DEFAULT,US,EUR,8999,,
010,,DEFAULT,US,EUR,31140,,
011,,DEFAULT,US,EUR,32940,,
012,,DEFAULT,US,EUR,32940,,
013,,DEFAULT,US,EUR,5129,,
014,,DEFAULT,US,EUR,4121,,
015,,DEFAULT,US,EUR,5400,,
016,,DEFAULT,US,EUR,8999,,
017,,DEFAULT,US,EUR,311129,,
018,,DEFAULT,US,EUR,31139,,
019,,DEFAULT,US,EUR,8999,,
020,,DEFAULT,US,EUR,9522,,
021,,DEFAULT,US,EUR,9612,,
022,,DEFAULT,US,EUR,23400,,
023,,DEFAULT,US,EUR,24051,,
024,,DEFAULT,US,EUR,40050,,
025,,DEFAULT,US,EUR,27000,,
026,,DEFAULT,US,EUR,3780,,
027,,DEFAULT,US,EUR,4410,,
028,,DEFAULT,US,EUR,2700,,
029,,DEFAULT,US,EUR,36922,,
030,,DEFAULT,US,EUR,40522,,
031,,DEFAULT,US,EUR,36022,,
032,,DEFAULT,US,EUR,2520,,
033,,DEFAULT,US,EUR,2250,,
034,,DEFAULT,US,EUR,27917,,
035,,DEFAULT,US,EUR,26772,,
036,,DEFAULT,US,EUR,16199,,
037,,DEFAULT,US,EUR,15299,,
038,,DEFAULT,US,EUR,14399,,
039,,DEFAULT,US,EUR,14309,,
040,,DEFAULT,US,EUR,14219,,
041,,DEFAULT,US,EUR,9342,,
042,,DEFAULT,US,EUR,8172,,
043,,DEFAULT,US,EUR,6590,,
044,,DEFAULT,US,EUR,28934,,
045,,DEFAULT,US,EUR,35295,,
046,,DEFAULT,US,EUR,3707,,
047,,DEFAULT,US,EUR,5152,,
048,,DEFAULT,US,EUR,11020,,
049,,DEFAULT,US,EUR,15025,,
050,,DEFAULT,US,EUR,27706,,
051,,DEFAULT,US,EUR,11185,,
,051_29567823,DEFAULT,US,EUR,10800,,
,051_30107816,DEFAULT,US,EUR,11250,,
,051_30614390,DEFAULT,US,EUR,11520,,
052,,DEFAULT,US,EUR,8102,,
,052_29567823,DEFAULT,US,EUR,8010,,
,052_30107816,DEFAULT,US,EUR,9450,,
,052_30614390,DEFAULT,US,EUR,7650,,
053,,DEFAULT,US,EUR,36586,,
,053_29567823,DEFAULT,US,EUR,31892,,
054,,DEFAULT,US,EUR,1691,,
055,,DEFAULT,US,EUR,17223,,
056,,DEFAULT,US,EUR,29939,,
057,,DEFAULT,US,EUR,37205,,
058,,DEFAULT,US,EUR,23789,,
,058_24245592,DEFAULT,US,EUR,3109,,
,058_26175504,DEFAULT,US,EUR,38661,,
059,,DEFAULT,US,EUR,33068,,
,059_24245592,DEFAULT,US,EUR,19073,,
,059_26175504,DEFAULT,US,EUR,39764,,
,059_26027598,DEFAULT,US,EUR,33622,,
060,,DEFAULT,US,EUR,37653,,
,060_24245592,DEFAULT,US,EUR,6686,,
,060_26175504,DEFAULT,US,EUR,37653,,
,060_26027598,DEFAULT,US,EUR,35829,,
061,,DEFAULT,US,EUR,25178,,
062,,DEFAULT,US,EUR,2657,,
063,,DEFAULT,US,EUR,17730,,
064,,DEFAULT,US,EUR,4903,,
065,,DEFAULT,US,EUR,28949,,
066,,DEFAULT,US,EUR,35418,,
067,,DEFAULT,US,EUR,20016,,
068,,DEFAULT,US,EUR,7205,,
069,,DEFAULT,US,EUR,18011,,
070,,DEFAULT,US,EUR,26710,,
,070_133745031,DEFAULT,US,EUR,39992,,
,070_203704321,DEFAULT,US,EUR,15369,,
,070_133913221,DEFAULT,US,EUR,36416,,
,070_133745032,DEFAULT,US,EUR,21992,,
,070_203704322,DEFAULT,US,EUR,37918,,
,070_133913222,DEFAULT,US,EUR,37418,,
,070_133745033,DEFAULT,US,EUR,10543,,
071,,DEFAULT,US,EUR,9562,,
072,,DEFAULT,US,EUR,37428,,
,072_19618271,DEFAULT,US,EUR,14982,,
,072_21927455,DEFAULT,US,EUR,12279,,
073,,DEFAULT,US,EUR,39112,,
,073_19618271,DEFAULT,US,EUR,6036,,
,073_21927455,DEFAULT,US,EUR,28503,,
074,,DEFAULT,US,EUR,1789,,
075,,DEFAULT,US,EUR,31109,,
076,,DEFAULT,US,EUR,32140,,
077,,DEFAULT,US,EUR,13099,,
078,,DEFAULT,US,EUR,23026,,
079,,DEFAULT,US,EUR,38252,,
080,,DEFAULT,US,EUR,22693,,
081,,DEFAULT,US,EUR,35196,,
082,,DEFAULT,US,EUR,33381,,
083,,DEFAULT,US,EUR,29928,,
084,,DEFAULT,US,EUR,29120,,
085,,DEFAULT,US,EUR,34351,,
086,,DEFAULT,US,EUR,16201,,
087,,DEFAULT,US,EUR,16574,,
088,,DEFAULT,US,EUR,8879,,
089,,DEFAULT,US,EUR,37254,,
090,,DEFAULT,US,EUR,18144,,
091,,DEFAULT,US,EUR,17741,,
092,,DEFAULT,US,EUR,15713,,
093,,DEFAULT,US,EUR,22409,,
094,,DEFAULT,US,EUR,25360,,
095,,DEFAULT,US,EUR,16195,,
096,,DEFAULT,US,EUR,25975,,
097,,DEFAULT,US,EUR,35520,,
098,,DEFAULT,US,EUR,22446,,
099,,DEFAULT,US,EUR,20709,,
100,,DEFAULT,US,EUR,5649,,
101,,DEFAULT,US,EUR,29618,,
102,,DEFAULT,US,EUR,12479,,
103,,DEFAULT,US,EUR,18229,,
104,,DEFAULT,US,EUR,3526,,
105,,DEFAULT,US,EUR,23977,,
106,,DEFAULT,US,EUR,40242,,
107,,DEFAULT,US,EUR,10450,,
108,,DEFAULT,US,EUR,15997,,
109,,DEFAULT,US,EUR,11315,,
110,,DEFAULT,US,EUR,31201,,
111,,DEFAULT,US,EUR,17611,,
112,,DEFAULT,US,EUR,22415,,
,112_312526171,DEFAULT,US,EUR,39351,,
,112_306918001,DEFAULT,US,EUR,1871,,
,112_312526191,DEFAULT,US,EUR,1863,,
,112_312526172,DEFAULT,US,EUR,29798,,
,112_306918002,DEFAULT,US,EUR,35256,,
,112_312526192,DEFAULT,US,EUR,12596,,
,112_306918003,DEFAULT,US,EUR,16603,,
,112_312526193,DEFAULT,US,EUR,14645,,
113,,DEFAULT,US,EUR,8999,,
114,,DEFAULT,US,EUR,8999,,
,114_29911081,DEFAULT,US,EUR,5850,,
,114_30580483,DEFAULT,US,EUR,6300,,
115,,DEFAULT,US,EUR,6300,,
,115_27295368,DEFAULT,US,EUR,31050,,
,115_26440118,DEFAULT,US,EUR,31050,,
,115_26408656,DEFAULT,US,EUR,31050,,
116,,DEFAULT,US,EUR,8999,,
,116_29743424,DEFAULT,US,EUR,31140,,
,116_28684053,DEFAULT,US,EUR,32940,,
117,,DEFAULT,US,EUR,32940,,
,117_29890338,DEFAULT,US,EUR,5129,,
,117_30585828,DEFAULT,US,EUR,4121,,
118,,DEFAULT,US,EUR,5400,,
119,,DEFAULT,US,EUR,8999,,
120,,DEFAULT,US,EUR,311129,,
,120_29890350,DEFAULT,US,EUR,31139,,
,120_30069636,DEFAULT,US,EUR,8999,,
,120_30069631,DEFAULT,US,EUR,9522,,
121,,DEFAULT,US,EUR,9612,,
,121_29406823,DEFAULT,US,EUR,23400,,
