abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,from_included,to_included
001,,DEFAULT,US,USD,10924,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
001,,DEFAULT,US,USD,8624,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
001,,DEFAULT,US,USD,4312,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
002,,DEFAULT,US,USD,10924,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
002,,DEFAULT,US,USD,8624,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
002,,DEFAULT,US,USD,4312,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
003,,DEFAULT,US,USD,7101,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
003,,DEFAULT,US,USD,5606,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
003,,DEFAULT,US,USD,2803,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
004,,DEFAULT,US,USD,7648,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
004,,DEFAULT,US,USD,6038,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
004,,DEFAULT,US,USD,3019,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
005,,DEFAULT,US,USD,7648,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
005,,DEFAULT,US,USD,6038,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
005,,DEFAULT,US,USD,3019,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
006,,DEFAULT,US,USD,37691,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
006,,DEFAULT,US,USD,29756,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
006,,DEFAULT,US,USD,14878,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
007,,DEFAULT,US,USD,37691,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
