product_relation_key,store_name
pr-1,US
pr-10,US
pr-100,US
pr-101,US
pr-102,US
pr-103,US
pr-104,US
pr-105,US
pr-106,US
pr-107,US
pr-108,US
pr-109,US
pr-11,US
pr-110,US
pr-111,US
pr-112,US
pr-113,US
pr-114,US
pr-115,US
pr-116,US
pr-117,US
pr-118,US
pr-119,US
pr-12,US
pr-120,US
pr-121,US
pr-122,US
pr-123,US
pr-124,US
pr-125,US
pr-126,US
pr-127,US
pr-128,US
pr-129,US
pr-13,US
pr-130,US
pr-131,US
pr-132,US
pr-133,US
pr-134,US
pr-135,US
pr-136,US
pr-137,US
pr-138,US
pr-139,US
pr-14,US
pr-140,US
pr-141,US
pr-142,US
pr-143,US
pr-15,US
pr-16,US
pr-17,US
pr-18,US
pr-19,US
pr-2,US
pr-20,US
pr-21,US
pr-22,US
pr-23,US
pr-24,US
pr-25,US
pr-26,US
pr-27,US
pr-28,US
pr-29,US
pr-3,US
pr-30,US
pr-31,US
pr-32,US
pr-33,US
pr-34,US
pr-35,US
pr-36,US
pr-37,US
pr-38,US
pr-39,US
pr-4,US
pr-40,US
pr-41,US
pr-42,US
pr-43,US
pr-44,US
pr-45,US
pr-46,US
pr-47,US
pr-48,US
pr-49,US
pr-5,US
pr-50,US
pr-51,US
pr-52,US
pr-53,US
pr-54,US
pr-55,US
pr-56,US
pr-57,US
pr-58,US
pr-59,US
pr-6,US
pr-60,US
pr-61,US
pr-62,US
pr-63,US
pr-64,US
pr-65,US
pr-66,US
pr-67,US
pr-68,US
pr-69,US
pr-7,US
pr-70,US
pr-71,US
pr-72,US
pr-73,US
pr-74,US
pr-75,US
pr-76,US
pr-77,US
pr-78,US
pr-79,US
pr-8,US
pr-80,US
pr-81,US
pr-82,US
pr-83,US
pr-84,US
pr-85,US
pr-86,US
pr-87,US
pr-88,US
pr-89,US
pr-9,US
pr-90,US
pr-91,US
pr-92,US
pr-93,US
pr-94,US
pr-95,US
pr-96,US
pr-97,US
pr-98,US
pr-99,US
