key,translation,locale
cart.remove.items.success,Produkte wurden erfolgreich aus dem Warenkorb entfernt,de_DE
cart.remove.items.success,Products were removed successfully,en_US
cart.add.items.error.text,Something went wrong. Sorry.,en_US
cart.add.items.error.text,Leider ging etwas schief. Tut uns leid.,de_DE
cart.add.items.success,Produkte erfolgreich der Wunschliste hinzugefügt,de_DE
cart.add.items.success,Items added successfully,en_US
cart.your-order,Deine Bestellung,de_DE
cart.your-order,Your Order,en_US
cart.product-option,Produktoptionen,de_DE
cart.product-option,Product Options,en_US
cart.price,Preis,de_DE
cart.price,Price,en_US
cart.shipping.order-item,+ Versand,de_DE
cart.shipping.order-item,+ Shipping,en_US
cart.shipping,Versand,de_DE
cart.shipping,Shipping,en_US
cart.total,Gesamt,de_DE
cart.total,Total,en_US
cart.checkout,Zur Kasse,de_DE
cart.checkout,Checkout,en_US
cart.empty,Der Warenkorb ist zur Zeit leer!,de_DE
cart.empty,Your shopping cart is empty!,en_US
cart.cart,Warenkorb,de_DE
cart.cart,Cart,en_US
cart.total.discount,Rabatt,de_DE
cart.total.discount,Discount,en_US
cart.vouchers,Gutscheine,de_DE
cart.vouchers,Vouchers,en_US
cart.discounts,Rabatte,de_DE
cart.discounts,Discounts,en_US
cart.sales-order-threshold,Mindestbestellwert,de_DE
cart.sales-order-threshold,Minimum Order Value,en_US
cart.title.available_discounts,Verfügbare Rabatte,de_DE
cart.title.available_discounts,Available discounts,en_US
checkout.sales-order-threshold,Mindestbestellwert,de_DE
checkout.sales-order-threshold,Minimum Order Value,en_US
sales-order-threshold.expense.name,Zuschlag,de_DE
sales-order-threshold.expense.name,Surcharge,en_US
sales-order-threshold.strategy.soft-minimum-threshold-fixed-fee,Zuschlag,de_DE
sales-order-threshold.strategy.soft-minimum-threshold-fixed-fee,Surcharge,en_US
sales-order-threshold.strategy.soft-minimum-threshold-flexible-fee,Zuschlag,de_DE
sales-order-threshold.strategy.soft-minimum-threshold-flexible-fee,Surcharge,en_US
cart.item_quantity,Anzahl,de_DE
cart.item_quantity,Quantity,en_US
cart.item_attributes_needed,Please select more attributes,en_US
cart.item_attributes_needed,Bitte mindestens ein anderes Attribut auswählen,de_DE
cart.voucher.redeem,Code einlösen,de_DE
cart.voucher.redeem,Redeem code,en_US
cart.price.subtotal,Zwischensumme,de_DE
cart.price.subtotal,Subtotal,en_US
cart.price.grand.total,Summe,de_DE
cart.price.grand.total,Grand Total,en_US
cart.total.tax_total,Mehrwertsteuer,de_DE
cart.total.tax_total,Tax,en_US
cart.total.tax_total.calculated_at_checkout,an der Kasse berechnet,de_DE
cart.total.tax_total.calculated_at_checkout,calculated at checkout,en_US
sales-order-threshold.hard-minimum-threshold.de.eur.message,"You should add items for {{threshold}} to pass a recommended threshold. You can't proceed with checkout",en_US
sales-order-threshold.hard-minimum-threshold.de.eur.message,"Du sollst Waren im Wert von {{threshold}} dem Warenkorb hinzufügen, um die empfohlene Schwelle zu erreichen. Du kannst nicht mit der Bestellung fortfahren",de_DE
sales-order-threshold.hard-minimum-threshold.de.chf.message,"You should add items for {{threshold}} to pass a recommended threshold. You can't proceed with checkout",en_US
sales-order-threshold.hard-minimum-threshold.de.chf.message,"Du sollst Waren im Wert von {{threshold}} dem Warenkorb hinzufügen, um die empfohlene Schwelle zu erreichen. Du kannst nicht mit der Bestellung fortfahren",de_DE
sales-order-threshold.hard-maximum-threshold.de.eur.message,The cart value cannot be higher than {{threshold}}. Please remove some items to proceed with the order,en_US
sales-order-threshold.hard-maximum-threshold.de.eur.message,"Der Warenkorbwert darf nicht höher als {{threshold}} sein. Bitte entfernen Sie einige Artikel, um mit der Bestellung fortzufahren",de_DE
