product_relation_key,store_name
pr-1,AT
pr-1,DE
pr-1,US
pr-10,AT
pr-10,DE
pr-10,US
pr-100,AT
pr-100,DE
pr-100,US
pr-101,AT
pr-101,DE
pr-101,US
pr-102,AT
pr-102,DE
pr-102,US
pr-103,AT
pr-103,DE
pr-103,US
pr-104,AT
pr-104,DE
pr-104,US
pr-105,AT
pr-105,DE
pr-105,US
pr-106,AT
pr-106,DE
pr-106,US
pr-107,AT
pr-107,DE
pr-107,US
pr-108,AT
pr-108,DE
pr-108,US
pr-109,AT
pr-109,DE
pr-109,US
pr-11,AT
pr-11,DE
pr-11,US
pr-110,AT
pr-110,DE
pr-110,US
pr-111,AT
pr-111,DE
pr-111,US
pr-112,AT
pr-112,DE
pr-112,US
pr-113,AT
pr-113,DE
pr-113,US
pr-114,AT
pr-114,DE
pr-114,US
pr-115,AT
pr-115,DE
pr-115,US
pr-116,AT
pr-116,DE
pr-116,US
pr-117,AT
pr-117,DE
pr-117,US
pr-118,AT
pr-118,DE
pr-118,US
pr-119,AT
pr-119,DE
pr-119,US
pr-12,AT
pr-12,DE
pr-12,US
pr-120,AT
pr-120,DE
pr-120,US
pr-121,AT
pr-121,DE
pr-121,US
pr-122,AT
pr-122,DE
pr-122,US
pr-123,AT
pr-123,DE
pr-123,US
pr-124,AT
pr-124,DE
pr-124,US
pr-125,AT
pr-125,DE
pr-125,US
pr-126,AT
pr-126,DE
pr-126,US
pr-127,AT
pr-127,DE
pr-127,US
pr-128,AT
pr-128,DE
pr-128,US
pr-129,AT
pr-129,DE
pr-129,US
pr-13,AT
pr-13,DE
pr-13,US
pr-130,AT
pr-130,DE
pr-130,US
pr-131,AT
pr-131,DE
pr-131,US
pr-132,AT
pr-132,DE
pr-132,US
pr-133,AT
pr-133,DE
pr-133,US
pr-134,AT
pr-134,DE
pr-134,US
pr-135,AT
pr-135,DE
pr-135,US
pr-136,AT
pr-136,DE
pr-136,US
pr-137,AT
pr-137,DE
pr-137,US
pr-138,AT
pr-138,DE
pr-138,US
pr-139,AT
pr-139,DE
pr-139,US
pr-14,AT
pr-14,DE
pr-14,US
pr-140,AT
pr-140,DE
pr-140,US
pr-141,AT
pr-141,DE
pr-141,US
pr-142,AT
pr-142,DE
pr-142,US
pr-143,AT
pr-143,DE
pr-143,US
pr-15,AT
pr-15,DE
pr-15,US
pr-16,AT
pr-16,DE
pr-16,US
pr-17,AT
pr-17,DE
pr-17,US
pr-18,AT
pr-18,DE
pr-18,US
pr-19,AT
pr-19,DE
pr-19,US
pr-2,AT
pr-2,DE
pr-2,US
pr-20,AT
pr-20,DE
pr-20,US
pr-21,AT
pr-21,DE
pr-21,US
pr-22,AT
pr-22,DE
pr-22,US
pr-23,AT
pr-23,DE
pr-23,US
pr-24,AT
pr-24,DE
pr-24,US
pr-25,AT
pr-25,DE
pr-25,US
pr-26,AT
pr-26,DE
pr-26,US
pr-27,AT
pr-27,DE
pr-27,US
pr-28,AT
pr-28,DE
pr-28,US
pr-29,AT
pr-29,DE
pr-29,US
pr-3,AT
pr-3,DE
pr-3,US
pr-30,AT
pr-30,DE
pr-30,US
pr-31,AT
pr-31,DE
pr-31,US
pr-32,AT
pr-32,DE
pr-32,US
pr-33,AT
pr-33,DE
pr-33,US
pr-34,AT
pr-34,DE
pr-34,US
pr-35,AT
pr-35,DE
pr-35,US
pr-36,AT
pr-36,DE
pr-36,US
pr-37,AT
pr-37,DE
pr-37,US
pr-38,AT
pr-38,DE
pr-38,US
pr-39,AT
pr-39,DE
pr-39,US
pr-4,AT
pr-4,DE
pr-4,US
pr-40,AT
pr-40,DE
pr-40,US
pr-41,AT
pr-41,DE
pr-41,US
pr-42,AT
pr-42,DE
pr-42,US
pr-43,AT
pr-43,DE
pr-43,US
pr-44,AT
pr-44,DE
pr-44,US
pr-45,AT
pr-45,DE
pr-45,US
pr-46,AT
pr-46,DE
pr-46,US
pr-47,AT
pr-47,DE
pr-47,US
pr-48,AT
pr-48,DE
pr-48,US
pr-49,AT
pr-49,DE
pr-49,US
pr-5,AT
pr-5,DE
pr-5,US
pr-50,AT
pr-50,DE
pr-50,US
pr-51,AT
pr-51,DE
pr-51,US
pr-52,AT
pr-52,DE
pr-52,US
pr-53,AT
pr-53,DE
pr-53,US
pr-54,AT
pr-54,DE
pr-54,US
pr-55,AT
pr-55,DE
pr-55,US
pr-56,AT
pr-56,DE
pr-56,US
pr-57,AT
pr-57,DE
pr-57,US
pr-58,AT
pr-58,DE
pr-58,US
pr-59,AT
pr-59,DE
pr-59,US
pr-6,AT
pr-6,DE
pr-6,US
pr-60,AT
pr-60,DE
pr-60,US
pr-61,AT
pr-61,DE
pr-61,US
pr-62,AT
pr-62,DE
pr-62,US
pr-63,AT
pr-63,DE
pr-63,US
pr-64,AT
pr-64,DE
pr-64,US
pr-65,AT
pr-65,DE
pr-65,US
pr-66,AT
pr-66,DE
pr-66,US
pr-67,AT
pr-67,DE
pr-67,US
pr-68,AT
pr-68,DE
pr-68,US
pr-69,AT
pr-69,DE
pr-69,US
pr-7,AT
pr-7,DE
pr-7,US
pr-70,AT
pr-70,DE
pr-70,US
pr-71,AT
pr-71,DE
pr-71,US
pr-72,AT
pr-72,DE
pr-72,US
pr-73,AT
pr-73,DE
pr-73,US
pr-74,AT
pr-74,DE
pr-74,US
pr-75,AT
pr-75,DE
pr-75,US
pr-76,AT
pr-76,DE
pr-76,US
pr-77,AT
pr-77,DE
pr-77,US
pr-78,AT
pr-78,DE
pr-78,US
pr-79,AT
pr-79,DE
pr-79,US
pr-8,AT
pr-8,DE
pr-8,US
pr-80,AT
pr-80,DE
pr-80,US
pr-81,AT
pr-81,DE
pr-81,US
pr-82,AT
pr-82,DE
pr-82,US
pr-83,AT
pr-83,DE
pr-83,US
pr-84,AT
pr-84,DE
pr-84,US
pr-85,AT
pr-85,DE
pr-85,US
pr-86,AT
pr-86,DE
pr-86,US
pr-87,AT
pr-87,DE
pr-87,US
pr-88,AT
pr-88,DE
pr-88,US
pr-89,AT
pr-89,DE
pr-89,US
pr-9,AT
pr-9,DE
pr-9,US
pr-90,AT
pr-90,DE
pr-90,US
pr-91,AT
pr-91,DE
pr-91,US
pr-92,AT
pr-92,DE
pr-92,US
pr-93,AT
pr-93,DE
pr-93,US
pr-94,AT
pr-94,DE
pr-94,US
pr-95,AT
pr-95,DE
pr-95,US
pr-96,AT
pr-96,DE
pr-96,US
pr-97,AT
pr-97,DE
pr-97,US
pr-98,AT
pr-98,DE
pr-98,US
pr-99,AT
pr-99,DE
pr-99,US
